category,date,Decile_1,Decile_2
Mining and Quarrying,01 2016,0.03,-2.51
Mining and Quarrying,04 2016,2.13,2.43
Mining and Quarrying,07 2016,-0.52,5.26
Mining and Quarrying,10 2016,0.75,-8.49
Mining and Quarrying,01 2017,0.41,2.69
Mining and Quarrying,04 2017,-0.03,0.89
Mining and Quarrying,07 2017,1.04,2.03
Mining and Quarrying,10 2017,0.44,-4.89
Mining and Quarrying,01 2018,0.56,2.21
Manufacturing,01 2016,0.03,0.02
Manufacturing,04 2016,2.13,1.45
Manufacturing,07 2016,-0.52,-0.64
Manufacturing,10 2016,0.75,1.49
Manufacturing,01 2017,0.41,0.55
Manufacturing,04 2017,-0.03,-0.05
Manufacturing,07 2017,1.04,1.07
Manufacturing,10 2017,0.44,1.28
Manufacturing,01 2018,0.56,0.21
"Electricity, gas, steam and air conditioning supply",01 2016,0.03,1.38
"Electricity, gas, steam and air conditioning supply",04 2016,2.13,5.56
"Electricity, gas, steam and air conditioning supply",07 2016,-0.52,-4.25
"Electricity, gas, steam and air conditioning supply",10 2016,0.75,3.12
"Electricity, gas, steam and air conditioning supply",01 2017,0.41,-3
"Electricity, gas, steam and air conditioning supply",04 2017,-0.03,0.14
"Electricity, gas, steam and air conditioning supply",07 2017,1.04,1.55
"Electricity, gas, steam and air conditioning supply",10 2017,0.44,-0.35
"Electricity, gas, steam and air conditioning supply",01 2018,0.56,2.53
"Water supply; sewerage, waste managementand remediation activities",01 2016,0.03,1.35
"Water supply; sewerage, waste managementand remediation activities",04 2016,2.13,2.67
"Water supply; sewerage, waste managementand remediation activities",07 2016,-0.52,0.3
"Water supply; sewerage, waste managementand remediation activities",10 2016,0.75,1.17
"Water supply; sewerage, waste managementand remediation activities",01 2017,0.41,2.11
"Water supply; sewerage, waste managementand remediation activities",04 2017,-0.03,-1.07
"Water supply; sewerage, waste managementand remediation activities",07 2017,1.04,-1.11
"Water supply; sewerage, waste managementand remediation activities",10 2017,0.44,-0.36
"Water supply; sewerage, waste managementand remediation activities",01 2018,0.56,-0.98
